Name,Brand,Scent Family/Families,Notes
Tantrum,BOY SMELLS,"Aromatic, Green, Herbal","Top: Bergamot, mint leaf, green peppercorn, galbanum // Middle: Orris, mate, tagete, sandalwood // Base: Vetiver, cedarwood virginia, ambrox"
Rose Load,BOY SMELLS,"Spicy Floral, Oud","Top: Rhubarb, cardamom, pink peppercorn // Middle: Rose petals, Turkish rose absolute, raspberry blossom // Base: Papyrus, agarwood, sandalwood"
Suede Pony,BOY SMELLS,"Amber, Leather, Woody","Top: Saffron, pineapple, cardamom, plum // Middle: Violet, hazelnut, coconut water, suede // Base: Patchouli fraction, labdanum, blond woods"
Flor De La Virgen,BOY SMELLS,"White Floral, Citrus, Honey","Top: Pomelo, saffron, lemon rind, fig leaf // Middle: ivy leaves, jasmine petals, olibanum // Base: Cistus, labdanum, clear musks, ambrox"
Violet Ends,BOY SMELLS,"Citrus, Aromatic, Leather","Top: Rhubarb, bergamot, black pepper, violet // Middle: Black tea, tobacco leaf, incense, orris // Base: White birch, tanned leather, smoked papyrus"
Bloom Profumo di Fiori,Gucci,"White Floral, Woody","Top: Jasmine Sambac, rangoon creeper // Middle: Tuberose, jasmine, ylang ylang // Base: Solar notes, musk, sandalwood, benzoin, woodsy notes, orris"
Memoire d'une Odeur,Gucci,"Herbal, Woody, Aromatic","Top: Chamomile, bitter almond // Middle: Musk, Indian jasmine, jasmine // Base: Sandalwood, cedar, vanilla"
Fleur de Portofino Acqua,Tom Ford,"Citrus, Floral, Honey","Top: Mandarin orange, tangerine, bitter orange, lemon, bergamot, violet leaf // Middle: Acacia, orange blossom, jasmine, magnolia, Moroccan rose // Base: Honey"
Soleil Blanc,Tom Ford,"Coconut, White Floral","Top: Pistachio, bergamot, cardamom, pink pepper // Middle: Tuberose, ylang ylang, jasmine // Base: Coconut, amber, tonka bean, benzoin"
You,Glossier,"Powdery, Musky","Pink pepper, iris, ambrette seeds, ambrox"
Melrose Place,OUAI,,
North Bondi,OUAI,,
Vanilla Woods,The 7 Virtues,,
Blackberry Lilly,The 7 Virtues,,
REPLICA Lipstick On,Maison Margiela,,
REPLICA Coffee Break,Maison Margiela,,
REPLICA Under the Lemon Trees,Maison Margiela,,
REPLICA Bubble Bath,Maison Margiela,,
REPLICA Matcha Meditation,Maison Margiela,,
REPLICA Lazy Sunday Mornings,Maison Margiela,,
REPLICA Jazz Club,Maison Margiela,,
REPLICA By the Fireplace,Maison Margiela,,
REPLICA Whispers in the Library,Maison Margiela,,
REPLICA Beach Walk,Maison Margiela,,
REPLICA Sailing Day,Maison Margiela,,
REPLICA At the Barber's,Maison Margiela,,
REPLICA Springtime in a Park,Maison Margiela,,
Libre,YSL,,
Mon Paris,YSL,,
Black Opium,YSL,,
Daisy,Marc Jacobs,,
Perfect,Marc Jacobs,,
Marc Jacobs Perfume,Marc Jacobs,White Floral,"Top: Gardenia // Middle: Jasmine, white pepper, honeysuckle // Base: Musk"
Mediterranean Honeysuckle,Aerin,,
Mediterranean Honeysuckle In Bloom,Aerin,,
Rosie Perfume Oil,By Rosie Jane,,
Warm Cotton,CLEAN,,
Chloé,Chloé,,
Chloé Rose Tangerine,Chloé,,
Light Blue,Dolce & Gabbana,,
Terre D'Hermes,Hermes,,
Not A Perfume,Juliette Has A Gun,,
Vanilla Sky,Skylar,,
Salty Stares,Snif,,
Honorable Mention,Snif,,
Poppy Issues,Snif,,
Sweet Ash,Snif,,
Si Passione,Armani,,
Flowerbomb,Viktor & Rolf,,
Cloud,Ariana Grande,,
"Thank U, Next",Ariana Grande,,
Crystal Gardenia Oud,KKW Fragrance,,
Seville Orange Perfume Oil,NEST,,
Turkish Rose Perfume Oil,NEST,,
Indigo,NEST,,
Sunkissed Hibiscus,NEST,,
Wild Poppy,NEST,,
Wisteria Blue,NEST,,
Midnight Fleur,NEST,,
Black Tulip,NEST,,
No. 4 Bois de Balincourt Perfume Oil,Maison Louis Marie,,
Wonderland Peony,Floral Street,,
Electric Rhubarb,Floral Street,,
Neon Rose,Floral Street,,
Arizona Bloom,Floral Street,,
Wild Vanilla Orchid,Floral Street,,
Chypre Sublime,Floral Street,,
Black Lotus,Floral Street,,
Ylang Ylang Espresso,Floral Street,,
Woody Sage (Jo Malone Wood Sage & Sea Salt),Dossier,,
O* Vetiver (Byredo Bal d'Afrique),Dossier,,
Brazilian Crush Cheirosa '62 Body Mist,Sol de Janiero,,
Cloud Musk,MIX:BAR,,
Coconut Palm,MIX:BAR,,
Milk,DedCool,,
01 Taunt,DedCool,,
02,DedCool,,
03 Blonde,DedCool,,
04,DedCool,,
05 Spring,DedCool,,
Rocco Mint,DedCool,,
Velvet Monroe,DedCool,,
Madonna Lilly,DedCool,,
Red Dakota,DedCool,,
Ivy Blanc,DedCool,,
Do Son,Diptyque,,
Eau de Sens,Diptyque,,
Philosykos,Diptyque,,
L'Ombre dans l'Eau,Diptyque,,
Eau Rose,Diptyque,,
Tam Dao,Diptyque,,
Eau Duelle,Diptyque,,
34 Boulevard Saint Germain,Diptyque,,
Vetyverio,Diptyque,,
Oyedo,Diptyque,,